"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1608610000,0.826389,93,144,24,119,25,24,0,24,24,80,76,40,19,24,24,1
"2",1,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",3927270000,0.827815,93,151,26,125,27,25,0,25,25,81,77,46,24,25,24,1
"3",2,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",2.18008e+11,0.834286,93,175,29,146,30,28,0,28,28,97,93,51,26,28,27,1
"4",3,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",3141820000,0.831081,93,148,25,123,26,24,0,24,24,81,77,44,23,24,23,1
"5",4,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",6136370000,0.828947,93,152,25,126,26,25,0,25,25,81,77,46,24,25,25,1
"6",5,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.831169,93,154,26,128,27,25,0,25,25,82,78,48,26,25,24,1
"7",6,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1029510000,0.825175,93,143,25,118,26,24,0,24,24,80,76,40,19,24,23,1
"8",7,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",18726700000,0.834395,93,157,25,131,26,25,0,25,25,84,80,48,26,25,25,1
"9",8,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1.29943e+12,0.840659,93,182,28,153,29,28,0,28,28,103,98,51,27,28,28,1
"10",9,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",14981400000,0.825,93,160,27,132,28,27,0,27,27,84,79,49,26,27,27,1
"11",10,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",14981400000,0.830189,93,159,27,132,28,26,0,26,26,85,81,49,26,26,25,1
"12",11,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",9588070000,0.854167,93,144,20,123,21,20,0,20,20,87,83,37,20,20,20,1
"13",12,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",14981400000,0.830189,93,159,27,132,28,26,0,26,26,86,82,48,25,26,25,1
"14",13,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",4909090000,0.828947,93,152,26,126,27,25,0,25,25,81,77,47,25,25,24,1
"15",14,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",57149400000,0.836364,93,165,27,138,28,26,0,26,26,86,82,54,31,26,25,1
"16",15,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",23408400000,0.835443,93,158,25,132,26,25,0,25,25,85,81,48,26,25,25,1
"17",16,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1608610000,0.823129,93,147,26,121,27,25,0,25,25,82,78,41,19,25,24,1
"18",17,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",9588070000,0.831169,93,154,25,128,26,25,0,25,25,82,78,47,25,25,25,1
"19",18,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.831169,93,154,26,128,27,25,0,25,25,83,79,47,25,25,24,1
"20",19,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",45719500000,0.834356,93,163,26,136,27,26,0,26,26,88,84,49,26,26,26,1
"21",20,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.853147,93,143,20,122,21,20,0,20,20,86,82,37,20,20,20,1
"22",21,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",23408400000,0.854305,93,151,22,129,23,21,0,21,21,92,88,39,21,21,20,1
"23",22,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",57149400000,0.832335,93,167,28,139,29,27,0,27,27,88,84,53,29,27,26,1
"24",23,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1286890000,0.821918,93,146,26,120,27,25,0,25,25,81,77,41,19,25,24,1
"25",24,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1608610000,0.826389,93,144,24,119,25,24,0,24,24,80,76,40,19,24,24,1
"26",25,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",36575600000,0.830303,93,165,28,137,29,27,0,27,27,88,84,51,27,27,26,1
"27",26,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",2513460000,0.828767,93,146,24,121,25,24,0,24,24,81,77,41,20,24,24,1
"28",27,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1608610000,0.823129,93,147,26,121,27,25,0,25,25,82,78,41,19,25,24,1
"29",28,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",45719500000,0.838509,93,161,25,135,26,25,0,25,25,85,81,51,29,25,25,1
"30",29,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",11985100000,0.832258,93,155,25,129,26,25,0,25,25,84,80,46,24,25,25,1
"31",30,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",29260500000,0.836478,93,159,25,133,26,25,0,25,25,87,83,47,25,25,25,1
"32",31,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",36575600000,0.830303,93,165,28,137,29,27,0,27,27,89,85,50,26,27,26,1
"33",32,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",4909090000,0.852113,93,142,21,121,22,20,0,20,20,86,82,37,20,20,19,1
"34",33,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",23408400000,0.849673,93,153,23,130,24,22,0,22,22,89,85,43,24,22,21,1
"35",34,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",18726700000,0.834395,93,157,25,131,26,25,0,25,25,84,80,48,26,25,25,1
"36",35,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",11985100000,0.833333,93,156,26,130,27,25,0,25,25,84,80,48,26,25,24,1
"37",36,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",45719500000,0.839506,93,162,26,136,27,25,0,25,25,86,82,52,30,25,24,1
"38",37,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",14981400000,0.807018,93,171,33,138,34,32,0,32,32,92,84,48,23,32,31,1
"39",38,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",11985100000,0.833333,93,156,26,130,27,25,0,25,25,85,81,47,25,25,24,1
"40",39,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",3927270000,0.814103,93,156,28,127,29,28,0,28,28,84,79,44,20,28,28,1
"41",40,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",23408400000,0.848684,93,152,22,129,23,22,0,22,22,90,85,40,22,22,22,1
"42",41,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",11985100000,0.828025,93,157,26,130,27,26,0,26,26,83,79,48,25,26,26,1
"43",42,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",6136370000,0.853147,93,143,21,122,22,20,0,20,20,86,82,38,21,20,19,1
"44",43,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",4909090000,0.828947,93,152,26,126,27,25,0,25,25,82,78,46,24,25,24,1
"45",44,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.831169,93,154,26,128,27,25,0,25,25,84,80,46,24,25,24,1
"46",45,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",4909090000,0.852113,93,142,21,121,22,20,0,20,20,86,82,37,20,20,19,1
"47",46,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1029510000,0.825175,93,143,25,118,26,24,0,24,24,80,76,40,19,24,23,1
"48",47,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.831169,93,154,26,128,27,25,0,25,25,84,80,46,24,25,24,1
"49",48,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",6136370000,0.848276,93,145,22,123,23,21,0,21,21,87,83,38,20,21,20,1
"50",49,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",2.18008e+11,0.841176,93,170,26,143,27,26,0,26,26,88,84,56,33,26,26,1
"51",50,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",9588070000,0.832258,93,155,26,129,27,25,0,25,25,85,81,46,24,25,24,1
"52",51,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",14981400000,0.833333,93,156,25,130,26,25,0,25,25,85,81,46,24,25,25,1
"53",52,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",9588070000,0.832258,93,155,26,129,27,25,0,25,25,85,81,46,24,25,24,1
"54",53,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",2513460000,0.829932,93,147,25,122,26,24,0,24,24,82,78,42,21,24,23,1
"55",54,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.831169,93,154,26,128,27,25,0,25,25,84,80,46,24,25,24,1
"56",55,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1608610000,0.823129,93,147,26,121,27,25,0,25,25,81,77,42,20,25,24,1
"57",56,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",11985100000,0.833333,93,156,26,130,27,25,0,25,25,85,81,47,25,25,24,1
"58",57,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",14981400000,0.818182,93,165,30,135,31,29,0,29,29,86,81,51,26,29,28,1
"59",58,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.854167,93,144,21,123,22,20,0,20,20,87,83,38,21,20,19,1
"60",59,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",45719500000,0.839506,93,162,26,136,27,25,0,25,25,88,84,50,28,25,24,1
"61",60,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",2513460000,0.821192,93,151,27,124,28,26,0,26,26,83,78,43,21,26,25,1
"62",61,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",71436700000,0.829412,93,170,29,141,30,28,0,28,28,92,87,51,27,28,27,1
"63",62,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",2513460000,0.82,93,150,26,123,27,26,0,26,26,83,78,41,19,26,26,1
"64",63,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",9588070000,0.854167,93,144,20,123,21,20,0,20,20,86,82,38,21,20,20,1
"65",64,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",57149400000,0.857143,93,154,21,132,22,21,0,21,21,92,88,41,23,21,21,1
"66",65,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",11985100000,0.829114,93,158,27,131,28,26,0,26,26,86,82,47,24,26,25,1
"67",66,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",18726700000,0.848684,93,152,23,129,24,22,0,22,22,90,86,41,22,22,21,1
"68",67,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",9588070000,0.832258,93,155,26,129,27,25,0,25,25,83,79,48,26,25,24,1
"69",68,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1608610000,0.826389,93,144,24,119,25,24,0,24,24,80,76,40,19,24,24,1
"70",69,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",4909090000,0.828947,93,152,26,126,27,25,0,25,25,81,77,47,25,25,24,1
"71",70,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1.1162e+11,0.83432,93,169,27,141,28,27,0,27,27,90,86,52,28,27,27,1
"72",71,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",11985100000,0.829114,93,158,27,131,28,26,0,26,26,86,82,47,24,26,25,1
"73",72,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",9588070000,0.823899,93,159,28,131,29,27,0,27,27,84,79,49,26,27,26,1
"74",73,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1029510000,0.825175,93,143,25,118,26,24,0,24,24,80,76,40,19,24,23,1
"75",74,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1029510000,0.825175,93,143,25,118,26,24,0,24,24,80,76,40,19,24,23,1
"76",75,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",57149400000,0.824561,93,171,30,141,31,29,0,29,29,90,86,53,27,29,28,1
"77",76,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",36575600000,0.834356,93,163,27,136,28,26,0,26,26,86,82,52,29,26,25,1
"78",77,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.853147,93,143,20,122,21,20,0,20,20,86,82,37,20,20,20,1
"79",78,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.853147,93,143,20,122,21,20,0,20,20,86,82,37,20,20,20,1
"80",79,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.830065,93,153,25,127,26,25,0,25,25,81,77,47,25,25,25,1
"81",80,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",14981400000,0.834395,93,157,26,131,27,25,0,25,25,86,82,47,25,25,24,1
"82",81,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",9588070000,0.828025,93,157,27,130,28,26,0,26,26,85,81,47,24,26,25,1
"83",82,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",2513460000,0.816993,93,153,28,125,29,27,0,27,27,84,79,43,20,27,26,1
"84",83,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1.39525e+11,0.828571,93,175,30,145,31,29,0,29,29,91,86,56,31,29,28,1
"85",84,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",29260500000,0.8375,93,160,26,134,27,25,0,25,25,86,82,50,28,25,24,1
"86",85,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",6136370000,0.853147,93,143,21,122,22,20,0,20,20,86,82,38,21,20,19,1
"87",86,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",9588070000,0.823899,93,159,28,131,29,27,0,27,27,88,83,45,22,27,26,1
"88",87,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",45719500000,0.819767,93,172,31,141,32,30,0,30,30,91,85,52,27,30,29,1
"89",88,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",29260500000,0.854305,93,151,21,129,22,21,0,21,21,90,86,40,22,21,21,1
"90",89,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1029510000,0.825175,93,143,25,118,26,24,0,24,24,80,76,40,19,24,23,1
"91",90,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",45719500000,0.823529,93,170,30,140,31,29,0,29,29,91,85,51,27,29,28,1
"92",91,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",2010760000,0.827586,93,145,24,120,25,24,0,24,24,80,76,41,20,24,24,1
"93",92,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",18726700000,0.835443,93,158,26,132,27,25,0,25,25,86,82,48,26,25,24,1
"94",93,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.831169,93,154,26,128,27,25,0,25,25,82,78,48,26,25,24,1
"95",94,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",2010760000,0.827586,93,145,24,120,25,24,0,24,24,80,76,41,20,24,24,1
"96",95,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",6136370000,0.830065,93,153,26,127,27,25,0,25,25,83,79,46,24,25,24,1
"97",96,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",23408400000,0.854305,93,151,22,129,23,21,0,21,21,90,86,41,23,21,20,1
"98",97,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",7670460000,0.849315,93,146,22,124,23,21,0,21,21,87,83,39,21,21,20,1
"99",98,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",1.39525e+11,0.865385,93,156,20,135,21,20,0,20,20,93,89,43,26,20,20,1
"100",99,"[93]oaHrxmtciRcccKycroGmNtMEtxHQPxwOhFNlrcNJEcgPqBcaohAqhILJrqQCNcaHDIzIRGHziEmIiAKPybFPCKHwtFnSL",4909090000,0.852113,93,142,21,121,22,20,0,20,20,86,82,37,20,20,19,1
"101",0,"[102]PbjeHcScQeuuOEMFRwizKlMOxeONwrEHmiHcSsdckjiofbkbAndBaRxfffeFANuNnEBazlfcMpiEwhHMIrPLvHRLcbgRcmMJgOgcQG",36575600000,0.875,102,144,17,126,18,17,0,17,17,83,82,41,24,20,20,2
